url_path,views_total,views_unique
/DrumScript/DrumScript,446,222
/DrumScript/DrumScript/issues,50,19
/DrumScript/DrumScript/issues/new,34,3
/DrumScript/DrumScript/actions,24,6
/DrumScript/DrumScript/releases/tag/v0.2.1,21,14
/DrumScript/DrumScript/actions/runs/32509446641,21,2
/DrumScript/DrumScript/tree/main/drumscript,18,13
/DrumScript/DrumScript/branches/all,13,1
/DrumScript/DrumScript/pulls,11,7
/DrumScript/DrumScript/blob/github-repo-stats/DrumScript/DrumScript/latest-report/report.pdf,10,7
