url_path,views_total,views_unique
/DrumScript/DrumScript,120,56
/DrumScript/DrumScript/pulls,27,2
/DrumScript/DrumScript/actions,14,3
/DrumScript/DrumScript/blob/github-repo-stats/DrumScript/DrumScript/latest-report/report.pdf,10,4
/DrumScript/DrumScript/tree/main,8,5
/DrumScript/DrumScript/issues,8,3
/DrumScript/DrumScript/tree/release/0.2.0,7,2
/DrumScript/DrumScript/tree/github-repo-stats/DrumScript/DrumScript,6,2
/DrumScript/DrumScript/tree/github-repo-stats/DrumScript/DrumScript/ghrs-data,6,2
/DrumScript/DrumScript/tree/github-repo-stats/DrumScript/DrumScript/latest-report,6,2
