time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-09 00:00:00+00:00,40,13,24,16
2026-09-10 00:00:00+00:00,27,17,19,12
2026-09-11 00:00:00+00:00,36,19,23,7
2026-09-12 00:00:00+00:00,32,15,60,15
2026-09-13 00:00:00+00:00,40,28,56,14
2026-09-14 00:00:00+00:00,44,20,60,15
2026-09-15 00:00:00+00:00,9,7,23,13
2026-09-16 00:00:00+00:00,87,33,36,9
2026-09-17 00:00:00+00:00,63,19,69,11
2026-09-18 00:00:00+00:00,121,30,24,15
2026-09-19 00:00:00+00:00,147,47,69,11
2026-09-20 00:00:00+00:00,100,43,64,13
2026-09-21 00:00:00+00:00,30,11,24,16
2026-09-22 00:00:00+00:00,43,16,60,14
