time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,23,9,5,5
2026-08-12 00:00:00+00:00,49,20,20,9
2026-08-13 00:00:00+00:00,25,11,25,10
2026-08-14 00:00:00+00:00,3,3,21,11
2026-08-15 00:00:00+00:00,2311,1981,39,15
2026-08-16 00:00:00+00:00,31,13,19,9
2026-08-17 00:00:00+00:00,93,30,43,12
2026-08-18 00:00:00+00:00,60,21,94,16
2026-08-19 00:00:00+00:00,129,29,149,11
2026-08-20 00:00:00+00:00,84,14,150,21
2026-08-21 00:00:00+00:00,88,23,199,14
2026-08-22 00:00:00+00:00,26,13,10,6
2026-08-23 00:00:00+00:00,29,12,146,62
2026-08-24 00:00:00+00:00,118,28,105,47
