time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,58,22,11,6
2026-08-03 00:00:00+00:00,37,19,10,4
2026-08-04 00:00:00+00:00,75,27,42,9
2026-08-05 00:00:00+00:00,44,18,4,2
2026-08-06 00:00:00+00:00,30,15,9,2
2026-08-07 00:00:00+00:00,23,12,10,4
2026-08-08 00:00:00+00:00,41,19,19,10
2026-08-09 00:00:00+00:00,101,39,18,7
2026-08-10 00:00:00+00:00,17,8,7,3
2026-08-11 00:00:00+00:00,23,9,5,5
2026-08-12 00:00:00+00:00,49,20,20,9
2026-08-13 00:00:00+00:00,25,11,25,10
2026-08-14 00:00:00+00:00,3,3,21,11
2026-08-15 00:00:00+00:00,2311,1981,39,15
