time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,55,13,73,22
2026-09-04 00:00:00+00:00,114,23,88,15
2026-09-05 00:00:00+00:00,158,41,54,14
2026-09-06 00:00:00+00:00,28,17,50,12
2026-09-07 00:00:00+00:00,72,22,68,19
2026-09-08 00:00:00+00:00,15,9,14,10
2026-09-09 00:00:00+00:00,40,13,24,16
2026-09-10 00:00:00+00:00,27,17,19,12
2026-09-11 00:00:00+00:00,36,19,23,7
2026-09-12 00:00:00+00:00,32,15,60,15
2026-09-13 00:00:00+00:00,40,28,56,14
2026-09-14 00:00:00+00:00,44,20,60,15
2026-09-15 00:00:00+00:00,9,7,23,13
2026-09-16 00:00:00+00:00,87,33,36,9
