url_path,views_total,views_unique
/DrumScript/DrumScript,320,153
/DrumScript/DrumScript/issues,56,14
/DrumScript/DrumScript/issues/new,28,3
/DrumScript/DrumScript/pulls,14,5
/DrumScript/DrumScript/issues/templates/edit,12,2
/DrumScript/DrumScript/tree/main/drumscript,11,6
/DrumScript/DrumScript/actions,10,4
/DrumScript/DrumScript/releases/tag/v0.2.1,9,8
/DrumScript/DrumScript/pull/321,8,2
/DrumScript/DrumScript/blob/main/.github/ISSUE_TEMPLATE/bug_report.yml,8,1
