time_iso8601,stars_cumulative
2025-06-17 00:00:00+00:00,1
2026-05-23 00:00:00+00:00,4
2026-05-24 00:00:00+00:00,6
2026-05-25 00:00:00+00:00,10
2026-05-26 00:00:00+00:00,12
2026-05-27 00:00:00+00:00,13
2026-06-02 00:00:00+00:00,14
2026-06-09 00:00:00+00:00,15
2026-06-20 00:00:00+00:00,16
2026-06-22 00:00:00+00:00,18
2026-06-24 00:00:00+00:00,19
2026-06-28 00:00:00+00:00,20
2026-07-21 00:00:00+00:00,26
2026-07-23 00:00:00+00:00,27
2026-07-29 00:00:00+00:00,28
